case_id,task_type,difficulty,expected_rows,observed_rows,schema_match,values_match,duplicate_keys,duration_ms,tool_calls,failure_reason,passed
C001,normalize_headers,standard,130,130,True,True,0,668,3,none,True
C002,normalize_headers,standard,140,140,True,True,0,716,3,none,True
C003,normalize_headers,standard,150,150,True,True,0,764,3,none,True
C004,normalize_headers,edge,160,160,False,True,0,812,3,schema_mismatch,False
C005,normalize_headers,standard,170,170,True,True,0,860,3,none,True
C006,normalize_headers,standard,180,180,True,True,0,908,4,none,True
C007,normalize_headers,standard,190,190,True,True,0,956,3,none,True
C008,normalize_headers,edge,200,200,True,True,0,1004,3,none,True
C009,normalize_headers,standard,210,210,True,True,0,642,3,none,True
C010,normalize_headers,standard,220,220,True,True,0,690,3,none,True
C011,normalize_headers,standard,230,230,True,True,0,738,3,none,True
C012,normalize_headers,edge,240,240,True,True,0,786,4,none,True
C013,normalize_headers,standard,250,250,True,True,0,834,3,none,True
C014,normalize_headers,standard,260,260,True,True,0,882,3,none,True
C015,normalize_headers,standard,270,270,True,True,0,930,3,none,True
C016,normalize_headers,edge,280,280,True,True,0,978,3,none,True
C017,normalize_headers,standard,290,290,True,True,0,1026,3,none,True
C018,normalize_headers,standard,300,300,True,True,0,664,4,none,True
C019,normalize_headers,standard,129,129,True,True,0,712,3,none,True
C020,normalize_headers,edge,139,139,True,True,0,760,3,none,True
C021,repair_numeric_types,standard,190,190,True,True,0,1048,4,none,True
C022,repair_numeric_types,standard,200,200,True,True,0,1096,4,none,True
C023,repair_numeric_types,standard,210,210,True,False,0,1144,4,value_mismatch,False
C024,repair_numeric_types,edge,220,220,True,True,0,782,4,none,True
C025,repair_numeric_types,standard,230,230,True,True,0,830,4,none,True
C026,repair_numeric_types,standard,240,240,True,True,0,878,5,none,True
C027,repair_numeric_types,standard,250,250,True,True,0,926,4,none,True
C028,repair_numeric_types,edge,260,260,True,True,0,974,4,none,True
C029,repair_numeric_types,standard,270,270,True,True,0,1022,4,none,True
C030,repair_numeric_types,standard,280,280,True,True,0,1070,4,none,True
C031,repair_numeric_types,standard,290,290,True,True,0,1118,4,none,True
C032,repair_numeric_types,edge,300,300,True,True,0,1166,5,none,True
C033,repair_numeric_types,standard,129,129,True,True,0,804,4,none,True
C034,repair_numeric_types,standard,139,139,True,True,0,852,4,none,True
C035,repair_numeric_types,standard,149,149,True,False,0,900,4,value_mismatch,False
C036,repair_numeric_types,edge,159,159,True,True,0,948,4,none,True
C037,repair_numeric_types,standard,169,169,True,True,0,996,4,none,True
C038,repair_numeric_types,standard,179,179,True,True,0,1044,5,none,True
C039,repair_numeric_types,standard,189,189,True,True,0,1092,4,none,True
C040,repair_numeric_types,edge,199,199,True,True,0,1140,4,none,True
C041,parse_mixed_dates,standard,250,250,True,True,0,1018,5,none,True
C042,parse_mixed_dates,standard,260,257,True,True,0,1066,5,row_count_mismatch,False
C043,parse_mixed_dates,standard,270,270,True,True,0,1114,5,none,True
C044,parse_mixed_dates,edge,280,280,True,True,0,1162,5,none,True
C045,parse_mixed_dates,standard,290,290,True,True,0,1210,5,none,True
C046,parse_mixed_dates,standard,300,300,True,False,0,1258,6,value_mismatch,False
C047,parse_mixed_dates,standard,129,129,True,True,0,1306,5,none,True
C048,parse_mixed_dates,edge,139,139,True,True,0,944,5,none,True
C049,parse_mixed_dates,standard,149,149,True,True,0,992,5,none,True
C050,parse_mixed_dates,standard,159,159,True,False,0,1040,5,value_mismatch,False
C051,parse_mixed_dates,standard,169,169,True,True,0,1088,5,none,True
C052,parse_mixed_dates,edge,179,179,True,True,0,1136,6,none,True
C053,parse_mixed_dates,standard,189,189,True,True,0,1184,5,none,True
C054,parse_mixed_dates,standard,199,196,True,True,0,1232,5,row_count_mismatch,False
C055,parse_mixed_dates,standard,209,209,True,True,0,1280,5,none,True
C056,parse_mixed_dates,edge,219,219,True,True,0,1328,5,none,True
C057,parse_mixed_dates,standard,229,229,True,True,0,966,5,none,True
C058,parse_mixed_dates,standard,239,239,True,False,0,1014,6,value_mismatch,False
C059,parse_mixed_dates,standard,249,249,True,True,0,1062,5,none,True
C060,parse_mixed_dates,edge,259,259,True,True,0,1110,5,none,True
C061,deduplicate_keys,standard,129,129,True,True,0,1148,4,none,True
C062,deduplicate_keys,standard,139,139,True,True,0,1196,4,none,True
C063,deduplicate_keys,standard,149,149,True,True,0,1244,4,none,True
C064,deduplicate_keys,edge,159,159,True,True,0,882,4,none,True
C065,deduplicate_keys,standard,169,169,True,True,0,930,4,none,True
C066,deduplicate_keys,standard,179,179,True,True,0,978,5,none,True
C067,deduplicate_keys,standard,189,189,True,True,2,1026,4,duplicate_key,False
C068,deduplicate_keys,edge,199,199,True,True,0,1074,4,none,True
C069,deduplicate_keys,standard,209,209,True,True,0,1122,4,none,True
C070,deduplicate_keys,standard,219,219,True,True,0,1170,4,none,True
C071,deduplicate_keys,standard,229,229,True,True,0,1218,4,none,True
C072,deduplicate_keys,edge,239,239,True,True,0,856,5,none,True
C073,deduplicate_keys,standard,249,249,True,True,0,904,4,none,True
C074,deduplicate_keys,standard,259,259,True,True,0,952,4,none,True
C075,deduplicate_keys,standard,269,269,True,True,0,1000,4,none,True
C076,deduplicate_keys,edge,279,279,True,True,0,1048,4,none,True
C077,deduplicate_keys,standard,289,289,True,True,0,1096,4,none,True
C078,deduplicate_keys,standard,299,299,True,True,0,1144,5,none,True
C079,deduplicate_keys,standard,128,126,True,True,0,1192,4,row_count_mismatch,False
C080,deduplicate_keys,edge,138,138,True,True,0,1240,4,none,True
